#11,Microlene  Water Filter Tap Adaptor WSL,EA,13.44,16.80
10110022,PVC  DWV Bend 22Deg 100mm,EA,15.09,43.11
10110030,PVC DWV Bend 30Deg 100mm,EA,7.22,33.73
10110045,PVC DWV Bend 45Deg 100mm,EA,7.14,34.83
10110045W,PVC DWV Bend Inspection 45Deg 100mm,EA,57.24,143.09
1011005,PVC DWV Bend 5Deg 100mm,EA,6.74,36.16
10110060,PVC DWV Bend 60Deg 100mm,EA,14.46,41.31
10110088,PVC DWV Bend 88Deg 100mm,EA,7.16,35.44
10110088W,PVC  DWV Bend Inspection 88Deg 100mm,EA,52.10,121.17
10115015,PVC DWV Bend 15Deg 150mm,EA,97.57,174.24
10115030,PVC  DWV Bend 30Deg 150mm,EA,83.80,149.64
10115045,PVC DWV Bend 45Deg 150mm,EA,22.53,140.19
10115088,PVC DWV Bend 88Deg 150mm,EA,23.82,200.00
101150A,PVC DWV Bend Adjustable 150mm,EA,91.60,163.58
10122515,PVC DWV Bend 15Deg 225mm,EA,83.68,104.60
10122545,PVC DWV Bend 45Deg 225mm,EA,128.34,160.43
1012255,PVC DWV Bend 5Deg 225mm,EA,206.37,257.96
10122588,PVC DWV Bend 88Deg 225mm,EA,126.78,158.48
10130015,PVC DWV Bend 15Deg 300mm,EA,317.72,397.15
10130045,PVC DWV Bend 45Deg 300mm,EA,208.57,260.71
1013005,PVC DWV Bend 5Deg 300mm,EA,260.48,325.60
10130088,PVC DWV Bend 88Deg 300mm,EA,297.94,372.42
101306,Variflex  Multipurpose Hose Red 6mmx1m,MET,9.57,13.67
101308,Variflex  Multipurpose Hose Red 8mmx1m,MET,10.58,15.12
101310,Variflex  Multipurpose Hose Red 10mmx1m,MET,12.47,17.81
101313,Variflex  Multipurpose Hose Red 13mmx1m,MET,14.88,21.26
101316,Variflex  Multipurpose Hose Red 16mmx1m,MET,18.77,26.81
101319,Variflex  Multipurpose Hose Red 19mmx1m,MET,22.97,32.82
1013215,PVC DWV Bend 15Deg 32mm,EA,7.49,17.43
1013245,PVC DWV Bend 45Deg 32mm,EA,4.71,13.46
101325,Variflex  Multipurpose Hose Red 25mmx1m,MET,35.54,50.77
1013288,PVC DWV Bend 88Deg 32mm,EA,5.15,14.38
1013288W,PVC  DWV Bend Inspection 88Deg WSL 32mm,EA,7.76,18.04
101332,Variflex  Multipurpose Hose Red 32mmx1m,MET,57.83,82.61
10137515,PVC DWV Bend 15Deg 375mm,EA,1109.56,1386.95
10137545,PVC DWV Bend 45Deg 375mm,EA,925.19,1156.49
1013755,PVC DWV Bend 5Deg 375mm,EA,405.82,507.28
10137588,PVC DWV Bend 88Deg 375mm,EA,1213.38,1516.72
1014015,PVC DWV Bend 15Deg 40mm,EA,5.63,18.47
1014045,PVC DWV Bend 45Deg 40mm,EA,1.71,11.10
1014045W,PVC DWV Bend Inspection 45Deg 40mm,EA,12.27,27.26
1014060,PVC DWV Bend 60Deg 40mm,EA,10.01,23.27
1014088,PVC DWV Bend 88Deg 40mm,EA,1.69,9.42
1014088W,PVC DWV Bend Inspection 88Deg 40mm,EA,13.41,31.19
1015015,PVC DWV Bend 15Deg 50mm,EA,10.86,27.15
1015045,PVC DWV Bend 45Deg 50mm,EA,2.30,18.91
1015045W,PVC DWV Bend Inspection 45Deg 50mm,EA,15.97,37.15
1015088,PVC DWV Bend 88Deg 50mm,EA,2.29,13.82
1015088W,PVC DWV Bend Inspection 88Deg 50mm,EA,14.03,32.62
1016515,PVC DWV Bend 15Deg 65mm,EA,18.30,51.66
1016545,PVC DWV Bend 45Deg 65mm,EA,4.70,31.98
1016545W,PVC DWV Bend Inspection 45Deg 65mm,EA,26.50,61.63
1016588,PVC DWV Bend 88Deg 65mm,EA,4.69,31.89
1016588W,PVC DWV Bend Inspection 88Deg 65mm,EA,27.20,63.25
1018015,PVC DWV Bend 15Deg 80mm,EA,16.52,54.35
1018045,PVC DWV Bend 45Deg 80mm,EA,8.50,41.98
1018045W,PVC DWV Bend Inspection 45Deg 80mm,EA,39.05,90.81
1018088,PVC DWV Bend 88Deg 80mm,EA,9.78,42.09
1018088W,PVC DWV Bend Inspection 88Deg 80mm,EA,49.94,116.14
10210088,PVC  DWV Bend Rear Access 88Deg 100mm,EA,42.00,113.50
102265,Caroma Leda Urinal Siphonic P Trap,EA,63.24,79.05
102742,Reed  Tube Bender Quad Mini 3/16"-3/8",EA,79.07,105.86
10310045,PVC  DWV Bend Small Access 45Deg 100mm,EA,28.36,76.18
10310045BIG,PVC DWV Bend Inspection 45Deg 100mm,EA,29.63,88.42
10310088,PVC  DWV Bend Small Access 88Deg 100mm,EA,30.44,76.09
10310088BIG,PVC DWV Bend Inspection 88Deg 100mm,EA,35.44,88.61
1032SC,Brass Starkie Compression Coupling 32mm,EA,136.56,195.54
103T,Alba Basin Tap Chrome 15mm,EA,61.56,76.95
1040SC,Brass Starkie Compression Coupling 40mm,EA,154.98,221.91
10410045,PVC  DWV Junction 45Deg 100mm,EA,12.88,67.78
10410045MF,PVC DWV Junction M/F 45Deg 100mm,EA,31.07,124.27
10410045T,PVC DWV Junction 45Deg Threaded 100mm,EA,15.55,74.03
1041005045,PVC  DWV Junction Reducing 45Deg 100mmx50mm,EA,16.72,105.35
1041005088,PVC DWV Junction Reducing 88Deg 100mmx50mm,EA,37.43,87.05
1041006545,PVC  DWV Junction Reducing 45Deg 100mmx65mm,EA,19.35,107.97
1041006588,PVC   DWV Junction Reducing 88Deg 100mmx65mm,EA,42.39,92.16
1041008045,PVC DWV Junction Reducing 45Deg 100mmx80mm,EA,49.03,114.02
10410088,PVC  DWV Junction 88Deg 100mm,EA,12.79,58.12
10410088MF,PVC  DWV Junction M/F 88Deg 100mm,EA,31.07,124.27
10410088T,PVC  DWV Junction 88Deg Threaded 100mm,EA,15.88,63.52
10410088W,PVC  DWV Junction Inspection 88Deg 100mm,EA,70.12,163.06
10415010045F,PVC DWV Junction Reducing 45Deg 150mmx100mm,EA,77.90,181.16
10415010045MF,PVC DWV Junction Reducing M/F 45Deg 150mmx100mm,EA,88.08,220.21
10415010088,PVC  DWV Junction Reducing 88Deg 150mmx100mm,EA,152.04,608.15
10415045,PVC DWV Junction 45Deg 150mm,EA,79.64,248.88
10415088,PVC DWV Junction 88Deg 150mm,EA,81.21,261.97
10422510045,PVC DWV Junction Reducing 45Deg 225mmx100mm,EA,240.66,300.83
10422510088,PVC DWV Junction Reducing 88Deg 225mmx100mm,EA,202.91,253.64
10422515045,PVC DWV Junction Reducing 45Deg 225mmx150mm,EA,207.95,259.94
10422515088,PVC DWV Junction Reducing 88Deg 225mmx150mm,EA,190.95,238.69
10422545,PVC DWV Junction 45Deg 225mm,EA,250.74,313.42
10422588,PVC DWV Junction 88Deg 225mm,EA,214.23,267.79
10430010045,PVC DWV Junction Reducing 45Deg 300mmx100mm,EA,254.82,318.53
10430010088,PVC DWV Junction Reducing 88Deg 300mmx100mm,EA,671.32,839.15
10430015045,PVC DWV Junction Reducing 45Deg 300mmx150mm,EA,291.29,364.11
10430015088,PVC DWV Junction Reducing 88Deg 300mmx150mm,EA,458.34,572.93
10430022545,PVC DWV Junction Reducing 45Deg 300mmx225mm,EA,370.90,463.62
10430022588,PVC DWV Junction Reducing 88Deg 300mmx225mm,EA,733.62,917.02
10430045,PVC DWV Junction 45Deg 300mm,EA,408.33,510.41
10430088,PVC DWV Junction 88Deg 300mm,EA,562.79,703.49
1043245,PVC  DWV Junction 45Deg 32mm,EA,9.41,24.65
1043288,PVC  DWV Junction 88Deg 32mm,EA,10.58,24.61
10437545,PVC DWV Junction 45Deg 375mm,EA,2005.82,2507.27
10437588,PVC DWV Junction 88Deg 375mm,EA,1706.02,2132.53
1044045,PVC DWV Junction 45Deg 40mm,EA,8.54,23.96
1044088,PVC  DWV Junction 88Deg 40mm,EA,5.92,21.13
1044088W,PVC  DWV Junction Inspection 88Deg 40mm,EA,23.49,54.62
104500,Reed  Pipe Cutter Internal Abrasive Blade with 4" Shaft 1.5",EA,46.33,62.03
104501,Reed  Pipe Cutter Internal Saw Blade with 4" Shaft 1.2",EA,58.56,78.40
104502,Reed  Pipe Cutter Internal Replacement Blade Abrasive 1.5",EA,39.22,52.51
104503,Reed  Pipe Cutter Internal Replacement Blade Saw 1.2",EA,29.71,38.58
104504088,PVC DWV Junction Reducing 45Deg 50mmx40mm,EA,17.40,96.68
1045045,PVC  DWV Junction 45Deg 50mm,EA,10.49,38.34
104505,Reed  Pipe Cutter Internal Saw Blade with 7" Shaft 7",EA,92.52,123.87
1045088,PVC  DWV Junction 88Deg 50mm,EA,13.33,48.70
1045088W,PVC  DWV Junction Inspection 88Deg 50mm,EA,26.81,62.34
1046545,PVC  DWV Junction 45Deg 65mm,EA,19.14,47.86
1046588,PVC  DWV Junction 88Deg 65mm,EA,22.22,79.37
1046588W,PVC  DWV Junction Inspection 88Deg 65mm,EA,26.38,61.34
1048045,PVC  DWV Junction 45Deg 80mm,EA,31.75,73.84
104805045,PVC  DWV Junction 45Deg 80mmx50mm,EA,57.53,133.80
1048088,PVC  DWV Junction 88Deg 80mm,EA,21.18,57.25
1048088W,PVC  DWV Junction Inspection 88Deg 80mm,EA,54.49,126.72
1051-44,Plumbqwik  Coupler Reducing 100mm,EA,36.46,47.97
1051-66,Plumbqwik  Coupler Reducing 150mm,EA,59.51,99.18
10510045LH,PVC  DWV Junction Inspection 45Deg 100mm,EA,34.59,86.48
10510045LHBIG,PVC  DWV Junction Inspection Big 45Deg LH 100mm,EA,40.25,100.63
10510045RH,PVC  DWV Junction Inspection 45Deg 100mm,EA,34.59,86.48
10510045RHBIG,PVC  DWV Junction Inspection Big 45Deg RH 100mm,EA,40.25,100.63
10510088,PVC  DWV Junction Access 88Deg 100mm,EA,34.14,156.53
105291,Aquatica  Jumper Washer WSL,EA,2.94,3.82
1055-1010,Plumbqwik  Coupler Earthenware 265mm-282mm 225mm,EA,190.24,317.06
1055-44,Plumbqwik  Coupler AC 110mm-126mm 100mm,EA,25.85,43.08
1056-075,Plumbqwik  Coupler 21mm-29mm 20mm,EA,13.06,21.77
1056-100,Plumbqwik  Coupler PVC 100mm-113mm 100mm,EA,15.24,25.40
1056-1010,Plumbqwik  Coupler 250mm-281mm 250mm,EA,151.12,251.87
1056-125,Plumbqwik  Coupler 37mm-49mm 40mm,EA,15.30,20.13
1056-22,Plumbqwik  Coupler 57mm-63mm 50mm,EA,21.11,27.77
1056-225,Plumbqwik  Coupler PVC 240mm-256mm 225mm,EA,140.87,234.78
1056-32,Plumbqwik  Coupler Reducing 80mmx50mm,EA,27.21,35.80
1056-33,Plumbqwik  Coupler 84mm-92mm 80mm,EA,20.05,26.38
1056-42,Plumbqwik  Coupler Reducing 100mmx50mm,EA,49.80,65.52
1056-43,Plumbqwik  Coupler Reducing 110mmx80mm,EA,33.65,44.27
1056-44,Plumbqwik  Coupler 105mm-116mm 100mm,EA,18.44,24.26
1056-49,Plumbqwik  Coupler Reducing 100mmx90mm,EA,25.47,33.51
1056-64,Plumbqwik  Coupler Reducing 160mmx110mm,EA,58.15,76.51
1056-66,Plumbqwik  Coupler 162mmx179mm 150mm,EA,60.66,79.81
1056-88,Plumbqwik  Coupler 204mm-226mm 200mm,EA,91.39,152.32
1058088,PVC  DWV Junction Access 88Deg 80mm,EA,50.45,117.33
1060-22,Plumbqwik  Coupler 67mm-74mm 65mm,EA,24.46,32.19
1060-WG,St Michel Riva Classic Vanity Wall Hung with Rubik Top 1 Drawer Double Bowl Woodgrain 1200mm,EA,1559.53,1732.81
10610088,PVC  DWV Junction Double 88Deg 100mm,EA,92.19,214.40
1062A-0,Englefield Studio II Bath Double 1800x700mm,EA,738.78,820.87
